PERMNO	date	COMNAM	RET
49154	4/2/2024	TARGET CORP	-0.008885
49154	4/3/2024	TARGET CORP	-0.004256
49154	4/4/2024	TARGET CORP	-0.018634
49154	4/5/2024	TARGET CORP	-0.002613
49154	4/8/2024	TARGET CORP	-0.012051
49154	4/9/2024	TARGET CORP	0.011373
49154	4/10/2024	TARGET CORP	-0.000058
49154	4/11/2024	TARGET CORP	-0.00169
49154	4/12/2024	TARGET CORP	-0.030409
49154	4/15/2024	TARGET CORP	-0.006682
49154	4/16/2024	TARGET CORP	-0.010242
49154	4/17/2024	TARGET CORP	0.007041
49154	4/18/2024	TARGET CORP	0.012829
49154	4/19/2024	TARGET CORP	0.010325
49154	4/22/2024	TARGET CORP	-0.007071
49154	4/23/2024	TARGET CORP	-0.00359
49154	4/24/2024	TARGET CORP	-0.007027
49154	4/25/2024	TARGET CORP	-0.005443
49154	4/26/2024	TARGET CORP	0.001824
49154	4/29/2024	TARGET CORP	-0.006131
49154	4/30/2024	TARGET CORP	-0.016796
49154	5/1/2024	TARGET CORP	-0.028264
49154	5/2/2024	TARGET CORP	0.010804
49154	5/3/2024	TARGET CORP	-0.000506
49154	5/6/2024	TARGET CORP	0.001962
49154	5/7/2024	TARGET CORP	0.013009
